Algo,RMSE,MAE,R-Squared,ExecutionTime
ols,1.071810517352029,0.8527825550876484,0.9960192705083527,0.0
DecisionTree,1.6198823350301477,1.1607511737089204,0.99090728504939,0.004999637603759766
RandomForest,1.9048740676648246,0.893839906103284,0.9874264134186217,0.39975404739379883
GradientBoosting,3.844188301048657,2.3348920196941574,0.9487922206241832,0.033165931701660156
XtremeGradientBoost,1.617709601757646,1.255325877229932,0.9909316606408554,0.04715156555175781
NN,6.413050352053482,3.8445514972668864,0.8574865225827355,1.1378493309020996
DNN,1.656368455422602,1.0871238977136741,0.9904930646689136,2.544283628463745
SVM Linear,1.656368455422602,2.571594150283437,0.7956563716172992,0.0
SVM RBF,1.656368455422602,3.874583351590255,0.7696595152957271,0.0
