Algo,RMSE,MAE,R-Squared,ExecutionTime
ols,2.3612656411739907,1.8986064540411836,0.9806795902326411,0.004996061325073242
DecisionTree,4.0515484201646865,2.210093896713616,0.9431188059197978,0.006999015808105469
RandomForest,2.7037659525466005,1.52476009389671,0.9746682713446764,0.38571882247924805
GradientBoosting,4.48637578514408,3.2044361721363854,0.9302542203377634,0.03614664077758789
XtremeGradientBoost,2.601703374056191,2.0121054134458443,0.9765446348685868,0.050229787826538086
NN,6.808545457821349,4.273102847533607,0.8393667965210294,1.1389145851135254
DNN,2.216463069874628,1.5178816054796391,0.9829765477509614,2.6333696842193604
SVM Linear,2.216463069874628,2.8614868208440165,0.7849656089426359,0.0
SVM RBF,2.216463069874628,4.213269729384841,0.7566949806944037,0.0
