Algo,RMSE,MAE,R-Squared,ExecutionTime
ols,4.003591919291169,3.0673626982192443,0.9444573948722483,0.0
DecisionTree,4.306050443566031,2.922629107981221,0.9357482643517965,0.0
RandomForest,3.499934293890279,2.056833333333329,0.9575530568101936,0.4106166362762451
GradientBoosting,5.555066166729514,4.088606933643172,0.8930686351486092,0.04422473907470703
XtremeGradientBoost,3.402172755045849,2.4162816433615526,0.9598912282828792,0.048738956451416016
NN,6.810592921244779,4.3583186454952045,0.8392701708723695,1.0963881015777588
DNN,3.1853815292360315,2.0957336547565015,0.9648399444509279,2.6011221408843994
SVM Linear,3.1853815292360315,3.4432156275930454,0.7625499973997372,0.0
SVM RBF,3.1853815292360315,4.566442726929934,0.7466121437254243,0.0
