Algo,RMSE,MAE,R-Squared,ExecutionTime
ols,3.9779362029556915,3.0930994040953768,0.9467833474833998,0.004996061325073242
DecisionTree,4.150594259895849,2.8380373831775696,0.9420634690607381,0.0012688636779785156
RandomForest,2.231836010917053,1.730214953271022,0.9832483925816349,0.5261392593383789
GradientBoosting,5.546681648839893,4.546833795065072,0.8965338222170653,0.045832157135009766
XtremeGradientBoost,3.5264219650580904,2.413590761701637,0.9581784156838874,0.04894137382507324
NN,5.6895275010665545,3.5007335891010607,0.8911359900864615,1.4140574932098389
DNN,2.8773178545092475,2.1734032482967196,0.9721575398692895,3.42557430267334
SVM Linear,2.8773178545092475,3.687210235657454,0.7709356999943712,0.0
SVM RBF,2.8773178545092475,4.378524140006268,0.7783434855315525,0.0
