Algo,RMSE,MAE,R-Squared,ExecutionTime
ols,1.1279826290530686,0.9097659851197835,0.9956986933521685,0.004996299743652344
DecisionTree,1.5380358822212175,1.1259374999999996,0.9920029738263838,0.0059964656829833984
RandomForest,1.057289896799825,0.7816537499999898,0.9962209403536914,0.4435758590698242
GradientBoosting,3.8041523132230934,2.559027784032213,0.9510771919472011,0.041295766830444336
XtremeGradientBoost,1.5069872649965759,1.170589084148407,0.9923225897761895,0.05338764190673828
NN,5.766725438324945,3.4963021101951597,0.8875772689485707,1.31089186668396
DNN,1.1729112583467745,0.8445187239646913,0.9953492189733403,3.0010287761688232
SVM Linear,1.1729112583467745,2.413677346547609,0.8209258030664356,0.014248847961425781
SVM RBF,1.1729112583467745,3.584938666225276,0.819115875887138,0.014248847961425781
