Algo,RMSE,MAE,R-Squared,ExecutionTime
ols,3.5530869029617373,2.729437475590029,0.9573216872399051,0.0
DecisionTree,3.445609253092986,2.5980625,0.9598645966150591,0.0
RandomForest,2.6942857932924387,1.7962356249999893,0.9754595283997322,0.47667360305786133
GradientBoosting,4.985216532599109,3.7174638389964856,0.9159836838075968,0.04284095764160156
XtremeGradientBoost,2.866861236860027,2.253375150680542,0.9722150942950145,0.05191922187805176
NN,6.001928838703526,3.8657170796394347,0.8782196364919191,1.2969858646392822
DNN,2.522608438333447,1.8433287005424497,0.9784872826850949,3.2918701171875
SVM Linear,2.522608438333447,3.0700742616774224,0.8054622532744737,0.0014538764953613281
SVM RBF,2.522608438333447,4.119477038775502,0.8059918016647196,0.0014538764953613281
